name,number,status
PEP Purpose and Guidelines,1,Active
Typing governance process,729,Active
Python Packaging Authority (PyPA) Governance,609,Active
The Zen of Python,20,Active
The Python Documentation Editorial Board,732,Active
C API Working Group Charter,731,Active
PEP Infrastructure Process,676,Active
Style Guide for Python Code,8,Active
Annual Release Cycle for Python,602,Active
Doing Python Releases 101,101,Active
Backwards Compatibility Policy,387,Active
Python Language Governance,13,Active
Voting Guidelines,10,Active
CPython platform support,11,Active
Sample reStructuredText PEP Template,12,Active
New PEG parser for CPython,617,Final
Style Guide for C Code,7,Active
Statement local namespaces (aka “given” clause),3150,Deferred
Adding a Rational Type to Python,239,Rejected
Reworking Python’s Numeric Model,228,Withdrawn
__findattr__(),231,Rejected
Attribute Docstrings,224,Rejected
Elementwise/Objectwise Operators,225,Rejected
Module Version Numbers,396,Rejected
A Platform Tag for Portable Linux Built Distributions,513,Superseded
Qualified Names for Modules,395,Withdrawn
Remove Backslash Continuation,3125,Rejected
Remove Implicit String Concatenation,3126,Rejected
A file format to list Python dependencies for reproducibility of an application,665,Rejected
The Commons Governance Model,8014,Rejected
Organization of the Python community,8015,Rejected
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
The External Council Governance Model,8013,Rejected
The Community Governance Model,8012,Rejected
The Technical Leader Governance Model,8010,Rejected
Asynchronous IO support,3153,Superseded
Cofunctions,3152,Rejected
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
Merging Unladen Swallow into CPython,3146,Withdrawn
"str(container) should call str(item), not repr(item)",3140,Rejected
Cleaning out sys and the “interpreter” module,3139,Rejected
Add a “while” clause to generator expressions,3142,Rejected
Introducing Roles,3133,Rejected
Labeled break and continue,3136,Rejected
Procedure for reviewing and improving standard library modules,3001,Withdrawn
BList: A Faster List-like Type,3128,Rejected
Access to Current Module/Class/Function,3130,Rejected
Postfix type declarations,3117,Rejected
Delineation of the main module,3122,Rejected
A Switch/Case Statement,3103,Rejected
IEEE 754 Floating Point Special Values,754,Rejected
Stricter Type Guards,724,Withdrawn
Module ,726,Rejected
Dependency specification for single-file scripts,722,Rejected
Callable Modules,713,Rejected
Adding a “converter” parameter to dataclasses.field,712,Rejected
Require virtual environments by default for package installers,704,Withdrawn
A simplified signature for __exit__ and __aexit__,707,Rejected
Lazy Imports,690,Rejected
Callable Type Syntax,677,Rejected
Reject Foolish Indentation,666,Rejected
"Standardizing Enum str(), repr(), and format() behaviors",663,Rejected
Editable installs via virtual wheels,662,Rejected
Robust Stack Overflow Handling,651,Rejected
Specifying Installer Requirements for Python Projects,650,Withdrawn
Allow writing optional types as ,645,Withdrawn
Using an underscore in the version portion of Python 3.10 compatibility tags,641,Rejected
Explicit Pattern Syntax for Structural Pattern Matching,642,Rejected
Extensible customizations of the interpreter at startup,648,Rejected
Unused variable syntax,640,Rejected
Support for indexing with keyword arguments,637,Rejected
Dependency specification in pyproject.toml based on PEP 508,631,Superseded
Structural Pattern Matching,622,Superseded
Hide implementation details from the C API,620,Withdrawn
Dependency specification in pyproject.toml using an exploded TOML table,633,Rejected
Coordinated Python release,608,Rejected
The one million limit,611,Withdrawn
A rolling feature release stream for CPython,605,Rejected
Python Compatibility Version,606,Rejected
Forbid return/break/continue breaking out of finally,601,Rejected
The manylinux2014 Platform Tag,599,Superseded
Introducing incremental feature releases,598,Withdrawn
Python local packages directory,582,Rejected
A Concurrency Memory Model for Python,583,Withdrawn
Improving bugs.python.org,595,Withdrawn
Augmented Assignment Expressions,577,Withdrawn
The C call protocol,580,Rejected
Rationalize Built-in function classes,576,Withdrawn
Unifying function/method classes,575,Withdrawn
Defined semantics for locals(),558,Withdrawn
The manylinux2010 Platform Tag,571,Superseded
Built-in noop(),559,Rejected
Context-local variables (contextvars),555,Withdrawn
Security transparency in the Python runtime,551,Withdrawn
Multiple Interpreters in the Stdlib,554,Superseded
Execution Context,550,Withdrawn
Instance Descriptors,549,Rejected
Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,546,Rejected
More Flexible Loop Control,548,Rejected
A Unified TLS API for Python,543,Withdrawn
Dot Notation Assignment In Function Header,542,Rejected
Final Grammar for Literal String Interpolation,536,Withdrawn
Existence checking operators,531,Withdrawn
API for code transformers,511,Rejected
Specialize functions with guards,510,Rejected
Build system abstraction for pip/conda etc,516,Rejected
Add a private version to dict,509,Superseded
Allow BlockingIOError in security sensitive APIs,522,Rejected
Managing global context via ‘with’ blocks in generators and coroutines,521,Withdrawn
Migrate CPython to Git and GitLab,507,Rejected
Using the System RNG by default,504,Withdrawn
String Interpolation - Extended Discussion,502,Rejected
A protocol for delegating datetime methods to their tzinfo implementations,500,Rejected
Environment Markers,496,Rejected
Creating forge.python.org,474,Withdrawn
"Migrate CPython to Git, Github, and Phabricator",481,Withdrawn
Chain exceptions at C level,490,Rejected
A standard mechanism for backward compatibility,497,Rejected
Adding structured data to built-in exceptions,473,Rejected
Support for indexing with keyword arguments,472,Rejected
Add binary interpolation and formatting,460,Withdrawn
Exception-catching expressions,463,Rejected
Core development workflow automation for CPython,462,Withdrawn
Standard Metadata Extensions for Python Software Packages,459,Withdrawn
Migration of dict iteration code to Python 3,469,Withdrawn
Adding a key-transforming dictionary to collections,455,Rejected
Inclusion of implicit pip bootstrap in Python installation,439,Rejected
Add a frozendict builtin type,416,Rejected
"A DSL for specifying signatures, annotations and argument converters",437,Rejected
Restructuring the CPython startup sequence,432,Withdrawn
Simpler customisation of class creation,422,Withdrawn
Easier suppression of file descriptor inheritance,433,Superseded
Time zone support improvements,431,Superseded
Faster evolution of the Python Standard Library,413,Withdrawn
Metadata for Python Software Packages 2.0,426,Withdrawn
Provisional packages in the Python standard library,411,Superseded
Use decimal.Decimal type for timestamps,410,Rejected
Standard library __preview__ package,408,Rejected
Improved Encapsulation of Import State,406,Withdrawn
Simplified Package Layout and Partitioning,402,Rejected
BDFL Retirement,401,April Fool!
Changing the version comparison module in Distutils,386,Superseded
Namespace Packages,382,Rejected
Static metadata for Distutils,390,Rejected
Mirroring infrastructure for PyPI,381,Withdrawn
Allow __enter__() methods to skip the statement body,377,Rejected
Adding the pkg_resources module,365,Rejected
New Super,367,Superseded
Adding an Assignment Expression,379,Withdrawn
Transitioning to the Py3K Standard Library,364,Withdrawn
Post import hooks,369,Withdrawn
Syntax For Dynamic Attribute Access,363,Rejected
The “make” Statement,359,Withdrawn
Path - Object oriented filesystem paths,355,Rejected
Codetags,350,Rejected
Allow str() to return unicode strings,349,Rejected
Enumerations in Python,354,Superseded
Exception Reorganization for Python 3.0,348,Rejected
User Defined (”,346,Withdrawn
The freeze protocol,351,Rejected
Exception Chaining and Embedded Tracebacks,344,Superseded
Metadata for Python Software Packages 1.2,345,Superseded
Anonymous Block Statements,340,Rejected
Design of the CPython Compiler,339,Withdrawn
Make None Callable,336,Rejected
Overloadable Boolean Operators,335,Rejected
Simple Coroutines via SuspendIteration,334,Withdrawn
Byte vectors and String/Unicode Unification,332,Rejected
Python Bytecode Verification,330,Rejected
Treating Builtins as Constants in the Standard Library,329,Rejected
A Case for Top and Bottom Values,326,Rejected
Resource-Release Support for Generators,325,Rejected
Python Synchronize/Asynchronize Block,319,Rejected
Enhanced While Loop,315,Rejected
Date/Time Parsing and Formatting,321,Withdrawn
Eliminate Implicit Exception Instantiation,317,Rejected
Metadata for Python Software Packages 1.1,314,Superseded
Adding Roman Numeral Literals to Python,313,Rejected
How to Change Python’s Grammar,306,Withdrawn
Controlling Generation of Bytecode Files,304,Withdrawn
Reliable Acquisition/Release Pairs,310,Rejected
Adding a bytes Object Type,296,Withdrawn
Support for System Upgrades,297,Rejected
Special __main__() function in modules,299,Rejected
The Locked Buffer Interface,298,Withdrawn
Extend divmod() for Multiple Divisors,303,Rejected
Interpretation of multiline string constants,295,Rejected
Type Names in the types Module,294,Rejected
Generators Attributes and Exceptions,288,Withdrawn
Integer for-loops,284,Rejected
Loop Counter Iteration with range and xrange,281,Rejected
Simple Iterator for ints,276,Rejected
Switching on Multiple Values,275,Rejected
uniq method for list objects,270,Rejected
Prefixing sys.path by command line option,271,Rejected
Extended HTTP functionality and WebDAV,268,Rejected
Optimizing Global Variable/Attribute Access,266,Withdrawn
Sorting Dictionaries by Value,265,Rejected
Docutils Design Specification,258,Rejected
Omit printing newline after newline,259,Rejected
Making Classes Look More Like Types,254,Rejected
Docstring Processing System Framework,256,Rejected
Object Adaptation,246,Rejected
A Database of Installed Python Packages,262,Rejected
The ,244,Rejected
Python Interface Syntax,245,Rejected
Module Repository Upload Mechanism,243,Withdrawn
Numeric Kinds,242,Withdrawn
Metadata for Python Software Packages,241,Superseded
Adding a Rational Literal to Python,240,Rejected
"Coroutines, Generators, Continuations",220,Rejected
Docstring Format,216,Withdrawn
String Interpolation,215,Superseded
Adding A New Outer Product Operator,211,Rejected
Decoupling the Interpreter Loop,210,Rejected
Multi-dimensional Arrays,209,Withdrawn
Python Advanced Library,206,Withdrawn
Loop Counter Iteration,212,Rejected
Range Literals,204,Rejected
Collecting information about git,103,Withdrawn
Doing Python Micro Releases,102,Superseded
Feature Requests,42,Withdrawn
Guidelines for Handling Bug Reports,3,Withdrawn
Sample Plaintext PEP Template,9,Withdrawn
